date,id,content,url
2023-04-19 19:17:31+00:00,1648767803862704170,"You’re surrounded by people. 

Find the bad ones and expel them. 

But when you find the good ones?

Treasure them. Be as kind and generous and compassionate as you can possibly be. 

Humans need each other. 

Disagree?

Try solitary.",https://twitter.com/Cobratate/status/1648767803862704170
2023-04-19 18:54:12+00:00,1648761936861880343,"In my next email, I will be destroying anyone and everyone who sells anything on the internet besides me. 

Don’t miss it.

Sign up for free here: https://t.co/t5YXtUban5",https://twitter.com/Cobratate/status/1648761936861880343
2023-04-19 16:14:09+00:00,1648721658029514753,"@elonmusk @RichardGrenell Because it was all bullshit :)

Incase anyone missed the point.",https://twitter.com/Cobratate/status/1648721658029514753
2023-04-19 12:34:51+00:00,1648666467167027201,@Zayn1888 @GretaThunberg 🫡,https://twitter.com/Cobratate/status/1648666467167027201
2023-04-19 11:38:57+00:00,1648652399626559488,"I am on precisely zero steroids or TRT of ANY KIND. NEVER HAVE BEEN. Never taken them in my life, ever.

I am a man who eats once a day and trains. THAT IS ALL. I swear this before GOD.

I will take and pass ANY TEST, try me.

Accept i am a genetic specimen of absolute brilliance. Gods soldier. Powerful beyond belief.

I do not need drugs. I am not you.

I am me.",https://twitter.com/Cobratate/status/1648652399626559488
2023-04-19 11:18:02+00:00,1648647136135856132,GM. https://t.co/VVn4ZjUJ2E,https://twitter.com/Cobratate/status/1648647136135856132
2023-04-19 11:06:09+00:00,1648644147094405120,"@Thecobraandrea I actually do not eat pork anymore. Avoided it even in jail, where 80% of the meat was pork. Went without protein.

My pizza had tomatoes on it. Not pork of any kind.

And I only ate one slice for the video. 

Let them hate. Let them.

We remain invincible.",https://twitter.com/Cobratate/status/1648644147094405120
2023-04-18 18:03:14+00:00,1648386719069224960,@Morpheusresist Im so fucking cool.,https://twitter.com/Cobratate/status/1648386719069224960
2023-04-18 10:02:46+00:00,1648265805916667909,#ClimateScam,https://twitter.com/Cobratate/status/1648265805916667909
2023-04-18 09:32:00+00:00,1648258063005089792,Do it. I don’t live in fear. https://t.co/Ar4IveUoex,https://twitter.com/Cobratate/status/1648258063005089792
2023-04-17 17:02:48+00:00,1648009126247538689,"There are 2.5million people on my email list.

I have been offered 30,000,000 to email out a crypto and pump it.

I said no.

I refuse to scam. Refuse.

I do not sell my soul like everybody else did.",https://twitter.com/Cobratate/status/1648009126247538689
2023-04-17 16:09:43+00:00,1647995766244274177,"This could be avoided if more people understood what incorrigible means and paid close attention.

But we all know that people are dumb... and do not listen.

Therefore, I have to limit myself to convey brilliant ideas to the average minds.",https://twitter.com/Cobratate/status/1647995766244274177
2023-04-17 16:08:45+00:00,1647995520583884802,"As the best speaker on earth, I convey ideas on a macro, but also a micro, through an extremely specific selection of vocabulary.

I no longer use the word incorrigible, as in normal speech, it sounds almost identical to encourageable.

Their meanings are different enough to destroy a point completely.",https://twitter.com/Cobratate/status/1647995520583884802
2023-04-17 13:51:53+00:00,1647961077416689664,"If you dont admit your mistakes, and feel the deep pain of sin, youre simply going to do it again.",https://twitter.com/Cobratate/status/1647961077416689664
2023-04-17 13:46:29+00:00,1647959720408371202,@edw4rs No I didnt. Who are you?,https://twitter.com/Cobratate/status/1647959720408371202
